Job ID	Job Description
JOB-027	FOH Restaurant Manager — True North Hospitality Group (Ann Arbor,MI) | Compensation: $52,000 - $58,000 a year | Employment Type: Full-time,45 to 50 hours per week,Monday to Friday (+5) | Benefits & Features: 401(k),Health insurance,Vision insurance,Paid training,Employee discount,Paid time off; Easily apply; 5 hires made in past 30 days
JOB-028	Assistant Branch Manager — MSGCU (Canton,MI 48187) | Compensation: From $54,627 a year | Employment Type: Not specified | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Health savings account,401(k) matching,Paid time off
JOB-029	Not listed in document
JOB-030	Not listed in document
JOB-031	Client Care Specialist — Lendify Home Loans (Troy,MI 48083) | Compensation: $50,000 - $100,000 a year | Employment Type: Full-time | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Referral program,Paid time off; Easily apply; Often responds in 1 day; 1 hire made in past 30 days; Top-rated employer
JOB-032	Not listed in document
JOB-033	Not listed in document
JOB-034	Not listed in document
JOB-035	General Manager — Stretch Zone (Sterling Heights,MI 48311) | Compensation: From $22 an hour | Employment Type: Full-time | Benefits & Features: Health insurance,Paid time off; Easily apply; 4 hires made in past 30 days
JOB-036	Assistant Branch Manager — University of Michigan Credit Union (Ann Arbor,MI 48104) | Compensation: Not specified | Employment Type: Not specified | Benefits & Features: Health insurance,401(k) matching,Tuition reimbursement,Pet insurance,Parental leave,Paid time off; Easily apply; Often replies in 1 day
JOB-037	Restaurant Operations Manager — Main Event Entertainment (Taylor,MI) | Compensation: $58,629 - $68,976 a year | Employment Type: Full-time,Weekends as needed (+1) | Benefits & Features: 401(k) matching,Dental insurance,Vision insurance,Disability insurance,Employee assistance program,Food provided; Multiple openings
JOB-038	Not listed in document
JOB-039	Store Manager — RESSCO (Pinckney/Brighton,MI 48116) | Compensation: Not specified | Employment Type: Full-time,On call | Benefits & Features: Easily apply; Often replies in 1 day
JOB-040	Not listed in document
JOB-041	Director of Sales & Marketing: AL & MC — Provision Living (South Lyon,MI 48178) | Compensation: Not specified | Employment Type: Full-time,Weekends as needed | Benefits & Features: Easily apply; New listing
JOB-042	Taco Bell General Manager — Great Lakes Taco (Royal Oak,MI 48067) | Compensation: Up to $70,000 a year | Employment Type: Full-time,Day shift (+1) | Benefits & Features: 401(k),401(k) matching,Health insurance,Tuition reimbursement,Paid training,Paid time off; Easily apply; 7 hires made in past 30 days
JOB-043	Dental Office Manager — Southfield Dentistry (Southfield,MI 48076) | Compensation: $70,000 - $80,000 a year | Employment Type: Full-time,Monday to Friday | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Employee discount,Paid holidays,Paid time off; Easily apply
JOB-044	Not listed in document
JOB-045	Restaurant Assistant General Manager — 9468 Ann Arbor Anna's House (Ann Arbor,MI 48108) | Compensation: Not specified | Employment Type: Full-time,Day shift (+4) | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Opportunities for advancement,Paid time off; Easily apply
JOB-046	Not listed in document
JOB-047	Not listed in document
JOB-048	Not listed in document
JOB-049	Banquet Manager — Method Hospitality (Detroit,MI 48226) | Compensation: $60,000 - $65,000 a year | Employment Type: Full-time,Weekends as needed (+2) | Benefits & Features: 401(k),Health insurance,Dental insurance,Vision insurance,Paid time off; Easily apply
JOB-050	Not listed in document
JOB-051	Account Executive — KOKI HOLDINGS AMERICA LTD./METABO HPT (Detroit,MI) | Compensation: Not specified | Employment Type: Full-time,Monday to Friday | Benefits & Features: 401(k),401(k) matching,Health insurance,Tuition reimbursement,Employee discount,Paid time off; Easily apply
JOB-052	Not listed in document
JOB-053	Not listed in document
JOB-054	Operations Manager - Ann Arbor — Molly Maid (Ann Arbor,MI 48104) | Compensation: $50,000 - $55,000 a year | Employment Type: Monday to Friday (+1) | Benefits & Features: Health insurance,Vision insurance,Opportunities for advancement,Paid time off; Easily apply
JOB-055	Not listed in document
JOB-056	Not listed in document
JOB-057	Not listed in document
JOB-058	Not listed in document
JOB-059	Bench General Manager — Buddy's Pizza (Farmington Hills,MI 48334) | Compensation: Not specified | Employment Type: 50 hours per week | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Paid training,Employee discount,Paid time off; Easily apply; Often replies in 1 day
JOB-060	Not listed in document
JOB-061	Not listed in document
JOB-062	Not listed in document
JOB-063	Not listed in document
JOB-064	Not listed in document
JOB-065	Not listed in document
JOB-066	Not listed in document
JOB-067	Not listed in document
JOB-068	Not listed in document
JOB-069	Not listed in document
JOB-070	Not listed in document
JOB-071	Not listed in document
JOB-072	Not listed in document
JOB-073	Not listed in document
JOB-074	Not listed in document
JOB-075	Not listed in document
JOB-076	Not listed in document
JOB-077	Not listed in document
JOB-078	Not listed in document
JOB-079	Not listed in document
JOB-080	Not listed in document
JOB-081	Not listed in document
JOB-082	Not listed in document
JOB-083	Not listed in document
JOB-084	Not listed in document
JOB-085	Entry Level Sales Representative — Pure Energy Company (Clinton Township,MI 48035) | Compensation: $80,000 - $130,000 a year | Employment Type: Full-time | Benefits & Features: 401(k),Health insurance,Dental insurance,Vision insurance,Paid training,Paid time off; Easily apply
JOB-086	Not listed in document
JOB-087	Not listed in document
JOB-088	Not listed in document
JOB-089	Assistant General Manager — Taco Bell (Westland,MI 48185) | Compensation: $48,000 - $60,000 a year | Employment Type: Full-time,50 hours per week | Benefits & Features: Health insurance,401(k) matching (6% Match),Tuition reimbursement,Gym membership,Paid time off; Easily apply
JOB-090	Not listed in document
JOB-091	Not listed in document
JOB-092	Not listed in document
JOB-093	Not listed in document
JOB-094	Not listed in document
JOB-095	Not listed in document
JOB-096	Not listed in document
JOB-097	Restaurant Manager (FOH) — International Market Place (Detroit,MI 48226) | Compensation: From $60,000 a year | Employment Type: Full-time,Weekends as needed (+2) | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Opportunities for advancement,Paid time off; Easily apply
JOB-098	Not listed in document
JOB-099	Not listed in document
JOB-100	Not listed in document
JOB-101	Not listed in document
JOB-102	Not listed in document
JOB-103	Sales Manager — A-1 Screenprinting LLC DBA Underground Printing (Detroit,MI 48226) | Compensation: Not specified | Employment Type: Full-time | Benefits & Features: Health insurance,Dental insurance,Vision insurance,401(k) matching,Paid holidays,Paid time off; Easily apply; Often replies in 1 day
JOB-104	Not listed in document
JOB-105	Not listed in document
JOB-106	Commercial Credit and Operations Manager — Community Choice Credit Union (Farmington Hills,MI 48334) | Compensation: Not specified | Employment Type: Full-time | Benefits & Features: Easily apply; Often replies in 1 day
JOB-107	Not listed in document
JOB-108	Not listed in document
JOB-109	Project Engineer — United Wholesale Mortgage (Pontiac,MI 48341) | Compensation: Not specified | Employment Type: Full-time | Benefits & Features: Health insurance,Vision insurance,401(k) matching,Parental leave,Paid training,Paid time off; Easily apply
JOB-110	Not listed in document
JOB-111	Not listed in document
JOB-112	Not listed in document
JOB-113	Not listed in document
JOB-114	Not listed in document
JOB-115	Not listed in document
JOB-116	Not listed in document
JOB-117	Customer On-Site — Traba (Livonia,MI 48150) | Compensation: $24 - $26 an hour | Employment Type: Full-time | Benefits & Features: Health insurance,Vision insurance; New listing; Often responds in 1 day; 26 hires made in past 30 days
JOB-118	Not listed in document
JOB-119	Operations Manager — Merlin Entertainments (Auburn Hills,MI) | Compensation: $64,000 a year | Employment Type: Full-time | Benefits & Features: Disability insurance
JOB-120	Not listed in document
JOB-121	Not listed in document
JOB-122	Not listed in document
JOB-123	Not listed in document
JOB-124	Not listed in document
JOB-125	Not listed in document
JOB-126	Not listed in document
JOB-127	Guest Service Manager — Aqua Tots Swim School - Aqua Tots Novi,LLC (Novi,MI 48377) | Compensation: $40,000 - $45,000 a year | Employment Type: Full-time,40 hours per week,Monday to Friday (+1) | Benefits & Features: Easily apply; Often replies in 1 day
